model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DLNSModel,RandomWalk,yield,m236,236,12,267,0.016157668083906174,0.007740366272628307,0.011190839111804962,0.006070206873118877,0.0002610702358651906,5.991327270749025e-05,-3.357469081878662,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m237,237,12,267,0.016171913594007492,0.007734982296824455,0.011205033399164677,0.006063809152692556,0.000261530774878338,5.982994844089262e-05,-3.3712353706359863,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m238,238,12,267,0.016186082735657692,0.007729613687843084,0.011218943633139133,0.00605750223621726,0.00026198927662335336,5.974692612653598e-05,-3.384983539581299,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m239,239,12,267,0.01620011404156685,0.007724184542894363,0.011232822202146053,0.006051265634596348,0.0002624437038321048,5.966302705928683e-05,-3.398766040802002,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m240,240,12,267,0.01621399261057377,0.0077186468988657,0.011246467009186745,0.006045064423233271,0.00026289356173947453,5.9577512729447335e-05,-3.412630558013916,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m241,241,12,267,0.016227705404162407,0.007712986320257187,0.011259893886744976,0.006038895808160305,0.00026333844289183617,5.949015758233145e-05,-3.426588535308838,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m242,242,12,267,0.01624125801026821,0.007707206066697836,0.011273259297013283,0.006032813340425491,0.00026377843460068107,5.9401023463578895e-05,-3.4406380653381348,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m243,243,12,267,0.016254665330052376,0.007701318711042404,0.011286658234894276,0.006027069874107838,0.00026421411894261837,5.931031046202406e-05,-3.454775333404541,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m244,244,12,267,0.0162679273635149,0.007695356383919716,0.011300114914774895,0.006021345499902964,0.0002646454668138176,5.921851334278472e-05,-3.4689650535583496,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m245,245,12,267,0.016281066462397575,0.007689354941248894,0.011314334347844124,0.006015635561197996,0.0002650731476023793,5.912618144066073e-05,-3.4831771850585938,mat,dlns_lee2023_h12
